Date,PG,^GSPC,MSFT,AAPL,AC.TO,SU,BA,WMT,TD,ABT
2019-03-01,95.93489838,2803.689941,111.0606079,172.7093811,34,32.50893784,430.2999878,95.5632019,53.60788345,77.3378067
2019-03-04,96.35394287,2792.810059,110.7941284,173.5780334,33.59999847,32.23328018,422.5557251,95.48512268,53.55095673,77.36734772
2019-03-05,96.56835175,2789.649902,110.2414322,173.2621613,33.02000046,32.36634827,420.0458984,95.96328735,53.39914322,76.97370911
2019-03-06,96.41242218,2771.449951,110.2907867,172.2652283,32.77999878,31.97662354,414.5184631,95.88522339,52.92473602,76.46199036
2019-03-07,96.04209137,2748.929932,108.9485397,170.2713165,33,31.6724453,412.6629639,95.09480286,52.56419754,75.57634735
2019-03-08,95.90565491,2743.070068,109.0669785,170.6760254,33.15999985,31.02606964,412.6434631,95.23141479,52.97217941,75.40904236
2019-03-11,97.04588318,2783.300049,111.3566895,176.5886078,33.36000061,31.39678764,390.6411438,96.09991455,53.21887207,76.57024384
2019-03-12,97.50392151,2791.52002,112.1363678,178.5726624,32.04000092,31.55837822,366.6173096,95.99256134,53.39914322,76.99339294
2019-03-13,98.60515594,2810.919922,113.0048752,179.3623199,32.00999832,31.95761299,368.3068237,96.63661194,53.67430115,77.36734772
2019-03-14,98.74159241,2808.47998,113.0936966,181.3562164,31.88999939,31.96712112,364.5567017,96.36190796,53.40863419,77.72161102
2019-03-15,99.83309937,2822.47998,114.3964691,183.715332,31.65999985,32.09069061,370.1134338,96.55812836,53.69327545,78.58757782
2019-03-18,98.92676544,2832.939941,116.0347824,185.5908051,31.42000008,32.60399246,363.5606384,97.77467346,54.18666458,77.5739975
2019-03-19,99.30683899,2832.570068,116.1137466,184.1200562,31.75,32.65151596,364.6836853,97.96107483,54.10126877,78.68598938
2019-03-20,99.13141632,2824.22998,115.9854431,185.7289886,31.44000053,33.01272583,367.349762,96.77396393,53.87355042,78.66631317
2019-03-21,99.88182068,2854.879883,118.6501923,192.5694275,31.45999908,32.86063766,363.9707947,97.18600464,53.16193771,78.78439331
2019-03-22,99.07294464,2800.709961,115.5215759,188.5816498,31.61000061,31.98613167,353.687439,96.42076874,52.2890358,76.72769928
2019-03-25,99.3653183,2798.360107,116.1236267,186.3014832,30.95999908,31.34925652,361.7832031,96.31285095,52.2890358,76.98355103
2019-03-26,100.3983307,2818.459961,116.3703461,184.3766785,31.92000008,31.63442421,361.7051086,96.46001434,52.24159622,77.74129486
2019-03-27,100.2813873,2805.370117,115.245224,186.0349731,32.20000076,30.83595657,365.4454041,95.37100983,51.62486649,77.47558594
2019-03-28,100.9148483,2815.439941,115.4031448,186.2817383,32.13000107,30.84546852,365.6700439,95.29252625,51.58691406,78.17428589
2019-03-29,101.4021301,2834.399902,116.3999634,187.4958649,32.20999908,30.82645607,372.4865723,95.68495941,51.54896545,78.66631317
2019-04-01,101.0025558,2867.189941,117.4658585,188.7692108,33.56000137,31.31123734,382.3695374,95.96946716,52.68753815,78.39076996
2019-04-02,101.1097565,2867.23999,117.6336365,191.5132904,33.58000183,31.31123734,381.5979919,95.10612488,52.80139542,78.35140991
2019-04-03,101.0512924,2873.399902,118.4034576,192.8261108,33.49000168,30.99755478,375.7287598,95.35140228,53.00064087,78.23332214
2019-04-04,100.7979126,2879.389893,117.8014221,193.1616821,33.02999878,31.1306324,386.5883484,96.25399017,53.13347626,77.36734772
2019-04-05,101.0122986,2892.73999,118.3244934,194.4547577,32.97999954,31.59640503,382.7503357,96.96037292,53.11450195,77.74129486
2019-04-08,102.2987137,2895.77002,118.3639679,197.5147095,32.88000107,31.95761299,365.7481689,97.35280609,53.43709946,77.26892853
2019-04-09,101.9966125,2878.199951,117.7224503,196.9224701,32.31999969,31.48233604,360.3965149,96.82302094,53.20634842,77.41654205
2019-04-10,101.9868546,2888.209961,118.6205826,198.0279846,32.36999893,31.46332359,356.3925171,97.71580505,53.2448082,77.71176147
2019-04-11,102.0843048,2888.320068,118.7587509,196.3795776,32.79000092,31.2066803,361.4902954,98.89311218,53.02367783,77.25909424
2019-04-12,102.3864212,2907.409912,119.3706512,196.3006134,32.52999878,31.54887581,370.74823,99.63871765,53.69668579,77.08123779
2019-04-15,103.0393753,2905.580078,119.4693527,196.6559601,31.95000076,31.34925652,366.6661072,100.4922714,53.81206512,76.57730865
2019-04-16,103.7118073,2907.060059,119.1930008,196.675705,31.65999985,31.26371002,372.7795105,100.982811,54.32162476,75.47064209
2019-04-17,103.8844452,2900.449951,120.1799469,200.5055847,32.24000168,31.59640503,368.677887,101.2084579,54.45623016,72.01231384
2019-04-18,104.0807343,2905.030029,121.7590561,201.2261505,32.59000015,31.54887581,371.1681824,101.2280731,54.37931442,73.03992462
2019-04-22,104.041481,2907.969971,122.143959,201.8874969,32.13999939,32.28079987,366.3829651,100.433403,54.36969757,73.62290192
2019-04-23,101.2444077,2933.679932,123.8020325,204.7993622,31.56999969,32.4994278,365.2598267,101.1201553,53.96589279,75.19397736
2019-04-24,101.7645645,2927.25,123.3776474,204.4835052,31.45000076,31.28272057,366.6661072,101.5714569,53.34095383,75.83623505
2019-04-25,101.3621674,2926.169922,127.4635773,202.6278076,32.06000137,31.48233604,373.8342285,101.5616379,53.52362823,77.18004608
2019-04-26,103.8942642,2939.879883,128.1939087,201.6604614,31.81999969,31.3397541,371.8712769,99.60929108,53.90820694,77.62467957
2019-04-29,102.8343201,2943.030029,128.0754852,201.9664612,31.95000076,31.49184227,370.1720581,99.63871765,54.46584702,77.33813477
2019-04-30,104.5027542,2945.830078,128.8946533,198.0773621,32.15999985,31.36826897,368.8439026,100.8945084,54.77350616,78.61277771
2019-05-01,102.9815292,2923.72998,126.2101593,207.8001099,32.86999893,30.92150879,367.974762,99.44250488,54.46584702,77.80253601
2019-05-02,103.5998306,2917.52002,124.5619659,206.4477997,32.56999969,30.0945282,366.9981689,99.23647308,54.34085464,77.84205627
2019-05-03,104.1101761,2945.639893,127.2168427,209.0142212,33.61999893,30.78843307,367.6427002,100.1488953,54.77350616,77.75313568
2019-05-06,103.7176056,2932.469971,126.4766235,205.7864685,35.27999878,30.49376106,362.8965454,100.5216904,54.63890457,78.12861633
2019-05-07,102.7557983,2884.050049,123.8809662,200.2390747,35.5,30.29414558,348.8630981,99.38365173,53.89859009,75.99433136
2019-05-08,103.118927,2879.419922,123.8711166,200.2785339,36.29999924,30.95002747,351.3240662,98.40255737,53.53324509,75.31254578
2019-05-09,102.3043442,2870.719971,123.8612442,198.126709,35.86999893,30.74090576,347.8225708,98.17571259,53.33134079,75.51016235
2019-05-10,104.041481,2881.399902,125.4699554,195.3819733,36.20999908,30.33216858,348.3529663,100.5132294,53.2448082,75.53980255
2019-05-13,104.1396179,2811.870117,121.7393112,184.0264893,38.20999908,29.86639595,331.361084,98.52090454,52.61986923,74.60112
2019-05-14,103.6390915,2834.409912,123.1013031,186.9396667,38.79999924,30.32266045,336.9301147,98.91543579,52.82176971,75.12480164
2019-05-15,104.7186661,2850.959961,124.8348389,189.1790619,38.88000107,30.51277161,339.4838257,98.51104736,52.94676208,75.59909058
2019-05-16,106.1024857,2876.320068,127.7174683,188.3467255,40.40000153,30.87398148,347.5082703,99.92144775,53.13904953,75.6880188
2019-05-17,105.4547348,2859.530029,126.8655701,187.2765808,40.86000061,30.5888176,348.6967163,99.47762299,53.11981964,75.06552124
2019-05-20,105.3369598,2840.22998,125.0329666,181.4204712,,30.72189331,346.5064697,100.1285629,53.46594238,74.86789703
2019-05-21,104.3947906,2864.360107,125.7065735,184.898468,40.77999878,31.15914726,352.3602905,99.73405457,53.33134079,75.12480164
2019-05-22,104.7382965,2856.27002,126.4693222,181.1132813,39.72000122,30.36068535,346.4966125,100.8288422,52.85062027,75.35207367
2019-05-23,104.7775497,2822.23999,124.9933395,178.0217438,39.49000168,29.18199921,344.3063354,100.463913,53.85051727,74.72956848
2019-05-24,104.708847,2826.060059,125.0527649,177.3380432,40.43000031,29.55271339,348.5788574,101.2628021,54.45623016,76.06350708
2019-05-28,102.520256,2802.389893,124.9735336,176.6047821,40.72000122,29.72381401,348.5592346,101.0162354,54.22548294,74.80861664
2019-05-29,102.2552719,2783.02002,123.7649994,175.7625275,40.50999832,29.73332024,342.5874939,100.7203522,53.45632172,74.76908875
2019-05-30,103.3741074,2788.860107,124.5475616,176.6741486,40.34999847,29.5146904,343.6384277,100.7893906,53.29288101,75.60897827
2019-05-31,100.9990463,2752.060059,122.5168457,173.4736023,39.90000153,29.27705193,335.5255737,100.0496674,52.54295731,75.22360992
2019-06-03,101.8725204,2744.449951,118.7129517,171.7197266,39.15999985,29.14213562,332.8540344,100.5625458,52.69678879,74.80861664
2019-06-04,102.7361755,2803.27002,122.0017395,178.0019226,39.40999985,29.14213562,338.4819641,101.1543198,53.63900375,76.53778839
2019-06-05,104.7481003,2826.149902,124.6466293,180.8754578,39.34000015,28.89157486,342.5383911,102.9888153,53.87936401,77.75313568
2019-06-06,105.3860321,2843.48999,126.6179123,183.5310364,39.02999878,29.27705193,344.3947754,103.6693649,54.21586609,79.13646698
2019-06-07,106.7502136,2873.340088,130.1642303,188.4160767,39.08000183,29.37342072,347.4002686,104.6063461,54.51391602,79.77872467
2019-06-10,106.701149,2886.72998,131.3529663,190.8239288,38.61999893,29.30596542,347.4984436,106.0463409,54.64852142,80.30242157
2019-06-11,107.3488922,2885.719971,130.857666,193.0335846,39.97000122,29.498703,343.1080627,106.4605865,54.78312302,80.15420532
2019-06-12,107.6433334,2879.840088,130.2534027,192.4192505,39.79999924,29.64325523,340.8490295,107.3285217,54.09087753,80.97431946
2019-06-13,108.8504868,2891.639893,131.075592,192.3795929,39.88000107,29.84563255,342.6464233,107.1608505,54.20625687,81.31027985
2019-06-14,109.1351013,2886.97998,131.2043762,190.9824677,39.99000168,29.87454414,340.9767151,107.5750961,54.41777039,81.24111176
2019-06-17,108.9289932,2889.669922,131.6006165,192.1219788,39.54000092,29.95163918,348.5788574,107.6638641,54.41777039,81.07313538
2019-06-18,107.5648117,2917.75,133.8888855,196.6403961,39.54000092,30.02873421,367.2993774,108.1471405,55.23500061,82.42681885
2019-06-19,108.3695831,2926.459961,134.4139099,196.0656891,40.72999954,30.25038528,361.995575,108.1175537,55.71572113,83.32598877
2019-06-20,109.6650772,2954.179932,135.6620331,197.6411896,39.45999908,30.66477203,368.2030029,108.8079605,55.91762543,83.9287262
2019-06-21,109.1351013,2950.459961,135.6818695,196.9673767,40,30.4527607,365.2171326,109.6068573,55.69649124,83.98801422
2019-06-24,110.2441177,2945.350098,136.4842377,196.7692108,40.16999817,30.69368553,367.3288269,109.7153473,56.05222702,83.70146179
